Document,Level
"Abstract  Background: Coronavirus Disease 2019 (COVID-19) has become a major global issue with rising the number of infected individuals and mortality in recent months. Among all therapeutic approaches, arguments have raised about hydroxychloroquine (HCQ) efficacy in the treatment of COVID-19. We carried out a systematic review and meta-analysis overcome the controversies regarding the effectiveness of hydroxychloroquine in the treatment of COVID-19. Methods: A systematic search was performed in PubMed, Scopus, Embase, Cochrane Library, Web of Science, Google Scholar and medRxiv pre-print database using all available MeSH terms for COVID-19 and hydroxychloroquine up to May 25, 2020. Studies focused on the effectiveness of HCQ with/without azithromycin (AZM) in confirmed COVID-19 patients were entered into the study. Two researchers have independently evaluated quality assessment of the studies and abstracted data for data extraction. Extracted data were analyzed using CMA v. 2.2.064. Heterogeneity was assessed using the I-squared (I2) test, and fixed/random-effects model was used when appropriate for pooling of studies. Results: Out of 26 studies entered into our systematic review, 21 studies including 14 comparative studies with control group and seven observational studies containing 103,486 participants have entered into the meta-analysis. The results of the meta-analysis on comparative studies indicated no significant clinical effectiveness (negative in RT-PCR evaluation) for HCQ regimen in the treatment of COVID-19 in comparison to control group (RR: 0.96, 95% CI, 0.76-1.22). The same result was observed for the combination of HCQ+azithromycin (RR: 2.15, 95% CI, 0.31-14.77). Approximately 1.5 times higher mortality rate was observed among the HCQ regimen group considering sensitivity analysis (RR: 1.57, 95% CI, 1.09-2.28) and 2.5 times higher in HCQ+AZM (RR: 2.46, 95% CI, 1.40-4.30) group in comparison to control group, which was affected by age differences according to meta-regression analysis (P<0.000001). No substantial difference was observed for disease exacerbation (RR: 1.60, 95% CI, 0.54-4.71) between HCQ group and controls. Also, radiological findings significantly improved in the HCQ group (OR: 0.32, 95% CI, 0.11-0.98). Odds of known HCQ adverse effects (diarrhea, vomiting, blurred vision, rash, headache, etc.) occurred in the HCQ regimen group was approximately 4 times of control group (OR: 3.86, 95% CI, 1.84-8.09), but no substantial differences were found regarding intubation odds between HCQ group and control group (OR: 2.11, 95% CI, 0.31-14.03). Conclusion: This systematic review and meta-analysis not only showed no clinical benefits regarding HCQ treatment with/without azithromycin for COVID-19 patients, but according to multiple sensitivity analysis, the higher mortality rates were observed for both HCQ and HCQ+AZM regimen groups, especially in the latter. Also, frequency of adverse effects was higher in HCQ regimen group. However, due to that most of the studies were non-randomized and results were not homogenous, selection bias was unavoidable and further large randomized clinical trials following comprehensive meta-analysis should be taken into account in order to achieve more reliable findings. Also, it is worth mentioning that if this work does not allow to quantify a ""value"" of the HCQ, it allows at least to know what is not the HCQ and that it would be prudent not to continue investing in this direction. It is worth mentioning that WHO has temporarily paused the hydroxychloroquine clinical study due to safety concerns.",Systematic Review
"Abstract  Abstract Background Hydroxychloroquine is being administered among patients with COVID19 infection in many healthcare systems across the world considering its in vitro effect against the SARS CoV 2 virus. In spite of several observational studies and a few randomized controlled trials, the effect of hydroxychloroquine on patients with COVID 19 infection remains unclear. We undertook this systematic review with meta-analysis to evaluate the efficacy and safety of hydroxychloroquine among patients with COVID 19 infection. Methods We searched PubMed, Embase, the Cochrane Library, Web of Science, medRxiv, and other relevant resources until May 13, 2020. We included randomized controlled trials and observational studies in which hydroxychloroquine was adminstered and compared to a control group. Data were extracted, and quality assessment of the studies was carried out. We evaluated symptomatic progression, mortality, viral clearance, the evolution of changes on chest CT imaging, and adverse events. A fixed or random-effects model was used depending on outcome heterogeneity. Results We included eleven studies including, three randomized controlled trials and eight observational studies. Among these, 2354 patients received hydroxychloroquine alone or in combination, while 1952 did not. Mortality was reported at different points of time. The overall mortality was not significantly different among patients who received hydroxychloroquine compared to the control group (OR: 1.41, 95% CI: 0.76 to 2.62; p = 0.28). Clinical worsening or lack of symptomatic improvement did not differ between patients who received hydroxychloroquine compared to those who did not (OR 1.1, 95% CI: 0.6 to 2.02; p = 0.76). Viral clearance, assessed by RT-PCR, did not differ significantly between the hydroxychloroquine and the control groups (OR: 1.13, CI: 0.26 to 5.01; p = 0.87). The evolution of changes on chest CT imaging was reported only in two studies; a more pronounced improvement was observed with the use of hydroxychloroquine compared to standard care (OR: 2.68, CI: 1.1 to 6.6; P = 0.03). The incidence of adverse events was significantly higher with hydroxychloroquine (OR: 4.1, CI: 1.42 to 11.88; p = 0.009). Conclusions Our meta-analysis does not suggest improvement in clinical progression, mortality, or viral clearance by RT PCR among patients with COVID 19 infection who are treated with hydroxychloroquine. There was a significantly higher incidence of adverse events with hydroxychloroquine use.",Systematic Review
"ABSTRACT Coronavirus disease 2019 (COVID-19) caused infection in 168,000 cases worldwide in about 148 countries and killed more than 6,610 people around the world as of March 16, 2020, as per the World Health Organization (WHO). Compared to severe acute respiratory syndrome and Middle East respiratory syndrome, there is the rapid transmission, long incubation period, and disease containment is becoming extremely difficult. The main aim of this systematic review is to provide a comprehensive clinical summary of all the available data from high-quality research articles relevant to the epidemiology, demographics, trends in hospitalization and outcomes, clinical signs and symptoms, diagnostic methods and treatment methods of COVID-19, thus increasing awareness in health care providers. We also discussed various preventive measures to combat COVID-19 effectively. A systematic and protocol-driven approach is needed to contain this disease, which was declared as a global pandemic on March 11, 2020, by the WHO.  ",Systematic Review
"Abstract Objective: To summarize currently available evidence on maternal, fetal, and neonatal outcomes of pregnant women infected with Coronavirus Disease 2019 (COVID-19).  Material and methods: PubMed, Google Scholar, CNKI, Wanfang Data, VIP, and CBMdisc were searched for studies reporting maternal, fetal, and neonatal outcomes of women infected with COVID-19 published from 1 January 2020 to 26 March 2020. The protocol was registered with the Open Science Framework (DOI: 10.17605/OSF.IO/34ZAV).  Results: In total, 18 studies comprising 114 pregnant women were included in the review. Fever (87.5%) and cough (53.8%) were the most commonly reported symptoms, followed by fatigue (22.5%), diarrhea (8.8%), dyspnea (11.3%), sore throat (7.5%), and myalgia (16.3%). The majority of patients (91%) had cesarean delivery due to various indications. In terms of fetal and neonatal outcomes, stillbirth (1.2%), neonatal death (1.2%), preterm birth (21.3%), low birth weight (<2500 g, 5.3%), fetal distress (10.7%), and neonatal asphyxia (1.2%) were reported. There are reports of neonatal infection, but no direct evidence of intrauterine vertical transmission has been found.  Conclusions: The clinical characteristics of pregnant women with COVID-19 are similar to those of non-pregnant adults. Fetal and neonatal outcomes appear good in most cases, but available data only include pregnant women infected in their third trimesters. Further studies are needed to ascertain long-term outcomes and potential intrauterine vertical transmission.",Systematic Review
"Abstract Aim: Pharyngodynia, nasal congestion, rhinorrhea, smell, and taste dysfunctions could be the presenting symptoms of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2. The aim was to perform a systematic review of current evidences on clinical presentation of COVID-19, focusing on upper airway symptoms in order to help otolaryngologists identifying suspected cases.  Methods: We searched PubMed and Web of Science electronic databases.  Results: We included 5 retrospective clinical studies for a total of 1556 hospitalized patients with COVID-19, 57.5% were male and mean age was 49.1 years. Pooled data revealed that pharyngodynia was present in 12.4% of patients, nasal congestion in 3.7%, and rhinorrhea was rare. No reports on COVID-19 and olfactory/gustative disorders matched inclusion criteria but preliminary evidences suggested they could be present. Common symptoms were fever (85.6%), cough (68.7%), and fatigue (39.4%). Frequent comorbidities were hypertension (17.4%), diabetes (3.8%), and coronary heart disease (3.8%); 83% of patients had alterations on chest computed tomography that were bilateral in 89.5% of cases. Ground-glass opacity was the most common finding (50%). Lymphopenia (77.2%) and leucopenia (30.1%) were common. Critical cases with complications were 9%, intensive care unit admission was required in 7.3%, invasive ventilation in 3.4%, and mortality was 2.4%.  Conclusion: Otolaryngologists should know that pharyngodynia, nasal congestion, olfactory, and gustative disorders could be the presenting symptoms of COVID-19. Clinical presentation together with radiological and laboratory findings could help to identify suspected cases.",Systematic Review
"Abstract: Introduction: In the beginning of 2020, an unexpected outbreak due to a new corona virus made the head- lines all over the world. Exponential growth in the number of those affected makes this virus such a threat. The current meta-analysis aimed to estimate the prevalence of underlying disorders in hospitalized COVID-19 pa- tients. Methods: A comprehensive systematic search was performed on PubMed, Scopus, Web of science, and Google scholar, to find articles published until 15 February 2020. All relevant articles that reported clinical char- acteristics and epidemiological information of hospitalized COVID-19 patients were included in the analysis. Results: The data of 76993 patients presented in 10 articles were included in this study. According to the meta- analysis, the pooled prevalence of hypertension, cardiovascular disease, smoking history and diabetes in people infected with SARS-CoV-2 were estimated as 16.37% (95%CI: 10.15%-23.65%), 12.11% (95%CI 4.40%-22.75%), 7.63% (95%CI 3.83%-12.43%) and 7.87% (95%CI 6.57%-9.28%), respectively. Conclusion: According to the find- ings of the present study, hypertension, cardiovascular diseases, diabetes mellitus, smoking, chronic obstructive pulmonary disease (COPD), malignancy, and chronic kidney disease were among the most prevalent underlying diseases among hospitalized COVID-19 patients, respectively.",Systematic Review
"Abstract  Currently, the number of patients with coronavirus disease 2019 (COVID-19) has increased rapidly, but relationship between comorbidity and patients with COVID-19 still not clear. The aim was to explore whether the presence of common comorbidities increases COVID-19 patients’ risk. A literature search was performed using the electronic platforms (PubMed, Cochrane Library, Embase, and other databases) to obtain relevant research studies published up to March 1, 2020. Relevant data of research endpoints in each study were extracted and merged. All data analysis was performed using Stata12.0 software. A total of 1558 patients with COVID-19 in 6 studies were enrolled in our meta-analysis eventually. Hypertension (OR: 2.29, P<0.001), diabetes (OR: 2.47, P<0.001), chronic obstructive pulmonary disease (COPD) (OR: 5.97, P<0.001), cardiovascular disease (OR: 2.93, P<0.001), and cerebrovascular disease (OR:3.89, P=0.002)were independent risk factors associated with COVID-19 patients. The meta-analysis revealed no correlation between increased risk of COVID-19 and liver disease, malignancy, or renal disease. Hypertension, diabetes, COPD, cardiovascular disease, and cerebrovascular disease are major risk factors for patients with COVID-19. Knowledge of these risk factors can be a resource for clinicians in the early appropriate medical management of patients with COVID-19.",Systematic Review
"ABSTRACT OBJECTIVE. Available information on CT features of the 2019 novel coronavirus disease (COVID-19) is scattered in different publications, and a cohesive literature review has yet to be compiled.  MATERIALS AND METHODS. This article includes a systematic literature search of PubMed, Embase (Elsevier), Google Scholar, and the World Health Organization database.  RESULTS. Known features of COVID-19 on initial CT include bilateral multilobar ground-glass opacification (GGO) with a peripheral or posterior distribution, mainly in the lower lobes and less frequently within the right middle lobe. Atypical initial imaging presentation of consolidative opacities superimposed on GGO may be found in a smaller number of cases, mainly in the elderly population. Septal thickening, bronchiectasis, pleural thickening, and subpleural involvement are some of the less common findings, mainly in the later stages of the disease. Pleural effusion, pericardial effusion, lymphadenopathy, cavitation, CT halo sign, and pneumothorax are uncommon but may be seen with disease progression. Follow-up CT in the intermediate stage of disease shows an increase in the number and size of GGOs and progressive transformation of GGO into multifocal consolidative opacities, septal thickening, and development of a crazy paving pattern, with the greatest severity of CT findings visible around day 10 after the symptom onset. Acute respiratory distress syndrome is the most common indication for transferring patients with COVID-19 to the ICU and the major cause of death in this patient population. Imaging patterns corresponding to clinical improvement usually occur after week 2 of the disease and include gradual resolution of consolidative opacities and decrease in the number of lesions and involved lobes.  CONCLUSION. This systematic review of current literature on COVID-19 provides insight into the initial and follow-up CT characteristics of the disease.",Systematic Review
"Abstract Aim  The coronavirus disease 2019 (COVID‐19) pandemic has affected hundreds of thousands of people. Data on symptoms and prognosis in children are rare.  Methods  A systematic literature review was carried out to identify papers on COVID‐19, which is caused by the severe acute respiratory syndrome coronavirus 2 (SARS‐CoV‐2), using the MEDLINE and Embase databases between January 1 and March 18, 2020.  Results  The search identified 45 relevant scientific papers and letters. The review showed that children have so far accounted for 1%‐5% of diagnosed COVID‐19 cases, they often have milder disease than adults and deaths have been extremely rare. Diagnostic findings have been similar to adults, with fever and respiratory symptoms being prevalent, but fewer children seem to have developed severe pneumonia. Elevated inflammatory markers were less common in children, and lymphocytopenia seemed rare. Newborn infants have developed symptomatic COVID‐19, but evidence of vertical intrauterine transmission was scarce. Suggested treatment included providing oxygen, inhalations, nutritional support and maintaining fluids and electrolyte balances.  Conclusions  The coronavirus disease 2019 has occurred in children, but they seemed to have a milder disease course and better prognosis than adults. Deaths were extremely rare.",Systematic Review
"Summary Background Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) causes COVID-19 and is spread person- to-person through close contact. We aimed to investigate the effects of physical distance, face masks, and eye protection on virus transmission in health-care and non-health-care (eg, community) settings. Methods We did a systematic review and meta-analysis to investigate the optimum distance for avoiding person-to- person virus transmission and to assess the use of face masks and eye protection to prevent transmission of viruses. We obtained data for SARS-CoV-2 and the betacoronaviruses that cause severe acute respiratory syndrome, and Middle East respiratory syndrome from 21 standard WHO-specific and COVID-19-specific sources. We searched these data sources from database inception to May 3, 2020, with no restriction by language, for comparative studies and for contextual factors of acceptability, feasibility, resource use, and equity. We screened records, extracted data, and assessed risk of bias in duplicate. We did frequentist and Bayesian meta-analyses and random-effects meta- regressions. We rated the certainty of evidence according to Cochrane methods and the GRADE approach. This study is registered with PROSPERO, CRD42020177047. Findings Our search identified 172 observational studies across 16 countries and six continents, with no randomised controlled trials and 44 relevant comparative studies in health-care and non-health-care settings (n=25 697 patients). Transmission of viruses was lower with physical distancing of 1 m or more, compared with a distance of less than 1 m (n=10 736, pooled adjusted odds ratio [aOR] 0·18, 95% CI 0·09 to 0·38; risk difference [RD] –10·2%, 95% CI –11·5 to –7·5; moderate certainty); protection was increased as distance was lengthened (change in relative risk [RR] 2·02 per m; pinteraction=0·041; moderate certainty). Face mask use could result in a large reduction in risk of infection (n=2647; aOR 0·15, 95% CI 0·07 to 0·34, RD –14·3%, –15·9 to –10·7; low certainty), with stronger associations with N95 or similar respirators compared with disposable surgical masks or similar (eg, reusable 12–16-layer cotton masks; pinteraction=0.09;posterior probability>95%, low certainty). Eye protection also was associated with less infection (n=3713; aOR 0·22, 95% CI 0·12 to 0·39, RD –10·6%, 95% CI –12·5 to –7·7; low certainty). Unadjusted studies and subgroup and sensitivity analyses showed similar findings. Interpretation The findings of this systematic review and meta-analysis support physical distancing of 1 m or more and provide quantitative estimates for models and contact tracing to inform policy. Optimum use of face masks, respirators, and eye protection in public and health-care settings should be informed by these findings and contextual factors. Robust randomised trials are needed to better inform the evidence for these interventions, but this systematic appraisal of currently best available evidence might inform interim guidance.",Systematic Review
