id,level,title,year,month,url,journal
1,1,Understanding of COVID-19 based on current evidence,2020,2,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25722,Journal of Medical Virology
2,5,COVID-19 epidemic: Disease characteristics in children,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25807,Journal of Medical Virology
3,4,Failure in initial stage containment of global COVID-19 epicenters,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25883,Journal of Medical Virology
4,4,Understanding epidemic data and statistics: A case study of COVID-19,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25885,Journal of Medical Virology
5,4,CT imaging features of 4121 patients with COVID-19: A meta-analysis,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25910,Journal of Medical Virology
6,5,"Hyperglycemia, hydroxychloroquine, and the COVID-19 pandemic",2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25887,Journal of Medical Virology
7,7,Unique epidemiological and clinical features of the emerging 2019 novel coronavirus pneumonia (COVID-19) implicate special control measures,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25748,Journal of Medical Virology
8,5,Coronavirus disease (COVID-19) and neonate: What neonatologist need to know,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25740,Journal of Medical Virology
9,6,"COVID-19 patients' clinical characteristics, discharge rate, and fatality rate of meta-analysis",2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25757,Journal of Medical Virology
10,4,Is Pakistan prepared for the COVID-19 epidemic? A questionnaire-based survey,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25814,Journal of Medical Virology
11,5,Clinical features and treatment of COVID-19 patients in northeast Chongqing,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25783,Journal of Medical Virology
12,6,Tocilizumab treatment in COVID-19: A single center experience,2020,4,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25801,Journal of Medical Virology
13,1,Diagnostic utility of clinical laboratory data determinations for patients with the severe COVID-19,2020,3,https://onlinelibrary.wiley.com/doi/10.1002/jmv.25770,Journal of Medical Virology
